Timestamp,['1da98315-ccdea701 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current A']
2017-12-08T00:00:00-07:00,117.23494378725688 A
2017-12-09T00:00:00-07:00,105.67367449308696 A
2017-12-10T00:00:00-07:00,105.90361579259236 A
2017-12-11T00:00:00-07:00,105.58301369349162 A
2017-12-12T00:00:00-07:00,106.05148347218831 A
2017-12-13T00:00:00-07:00,103.83466966946919 A
2017-12-14T00:00:00-07:00,105.59449489911397 A
2017-12-15T00:00:00-07:00,104.69694463411967 A
2017-12-16T00:00:00-07:00,105.30587053800885 A
2017-12-17T00:00:00-07:00,104.84324105580647 A
2017-12-18T00:00:00-07:00,106.20384701815519 A
2017-12-19T00:00:00-07:00,106.04485368728638 A
2017-12-20T00:00:00-07:00,107.62402860323589 A
2017-12-21T00:00:00-07:00,105.57839552561443 A
2017-12-22T00:00:00-07:00,105.40285873413086 A
2017-12-23T00:00:00-07:00,104.43010624249776 A
2017-12-24T00:00:00-07:00,104.97821076711018 A
2017-12-25T00:00:00-07:00,106.00662883122762 A
2017-12-26T00:00:00-07:00,106.10459454854329 A
2017-12-27T00:00:00-07:00,105.97165234883626 A
2017-12-28T00:00:00-07:00,106.41001375516255 A
2017-12-29T00:00:00-07:00,106.10036039352417 A
2017-12-30T00:00:00-07:00,104.87941225369771 A
2017-12-31T00:00:00-07:00,105.7501441637675 A
