Timestamp,['1cf8d7b8-b07543b7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 KWH Received']
2017-12-21T00:00:00-07:00,30698.666666666668 Wh
2017-12-22T00:00:00-07:00,31264 Wh
2017-12-23T00:00:00-07:00,31146.666666666668 Wh
2017-12-24T00:00:00-07:00,30794.666666666668 Wh
2017-12-25T00:00:00-07:00,30752 Wh
2017-12-26T00:00:00-07:00,30784 Wh
2017-12-27T00:00:00-07:00,30752 Wh
2017-12-28T00:00:00-07:00,30944 Wh
2017-12-29T00:00:00-07:00,31274.666666666668 Wh
2017-12-30T00:00:00-07:00,31072 Wh
2017-12-31T00:00:00-07:00,31093.333333333332 Wh
