Timestamp,['1d09e916-9c816e43 0084-BIOLOGY BLDG Power Meter 316501 KWH Received']
2017-10-12T00:00:00-06:00,5468.796875 kWh
2017-10-13T00:00:00-06:00,5456.046875 kWh
2017-10-14T00:00:00-06:00,5381.515625 kWh
2017-10-15T00:00:00-06:00,5228.0625 kWh
2017-10-16T00:00:00-06:00,5287.9375 kWh
2017-10-17T00:00:00-06:00,5114.3125 kWh
2017-10-18T00:00:00-06:00,5271.84375 kWh
2017-10-19T00:00:00-06:00,5062.984375 kWh
2017-10-20T00:00:00-06:00,5358.28125 kWh
2017-10-21T00:00:00-06:00,5190.65625 kWh
2017-10-22T00:00:00-06:00,5159.375 kWh
2017-10-23T00:00:00-06:00,5434.59375 kWh
2017-10-24T00:00:00-06:00,5422.09375 kWh
2017-10-25T00:00:00-06:00,5480.9375 kWh
2017-10-26T00:00:00-06:00,616525.90625 kWh
