Timestamp,['1cac280a-0c99d439 0077-CHRISTENSEN CNTR Power Meter (300172) Current B']
2017-08-29T00:00:00-06:00,134.81733418725 A
2017-08-30T00:00:00-06:00,137.8188426123725 A
2017-08-31T00:00:00-06:00,131.37742612626818 A
2017-09-01T00:00:00-06:00,127.68053607675765 A
2017-09-02T00:00:00-06:00,125.3590798801846 A
2017-09-03T00:00:00-06:00,116.88077743318345 A
2017-09-04T00:00:00-06:00,113.67106800344256 A
2017-09-05T00:00:00-06:00,134.09004468917846 A
2017-09-06T00:00:00-06:00,129.64020702573987 A
2017-09-07T00:00:00-06:00,130.0787080923716 A
2017-09-08T00:00:00-06:00,118.49936659207621 A
2017-09-09T00:00:00-06:00,105.3883589108785 A
2017-09-10T00:00:00-06:00,102.24003347025977 A
2017-09-11T00:00:00-06:00,131.90682566960652 A
2017-09-12T00:00:00-06:00,127.89554746150971 A
2017-09-13T00:00:00-06:00,128.078739367591 A
2017-09-14T00:00:00-06:00,121.38258577717676 A
2017-09-15T00:00:00-06:00,119.13658104207781 A
2017-09-16T00:00:00-06:00,109.39447110493978 A
2017-09-17T00:00:00-06:00,99.11173543400234 A
2017-09-18T00:00:00-06:00,123.74102938175201 A
2017-09-19T00:00:00-06:00,126.65456295808157 A
2017-09-20T00:00:00-06:00,139.97451312277053 A
2017-09-21T00:00:00-06:00,118.25765248669518 A
2017-09-22T00:00:00-06:00,107.62468588087293 A
2017-09-23T00:00:00-06:00,95.76139001051585 A
2017-09-24T00:00:00-06:00,97.54876044591268 A
2017-09-25T00:00:00-06:00,125.46158169640435 A
2017-09-26T00:00:00-06:00,136.12060573895772 A
2017-09-27T00:00:00-06:00,126.27521800994873 A
2017-09-28T00:00:00-06:00,121.09036887486776 A
2017-09-29T00:00:00-06:00,119.89912335607741 A
2017-09-30T00:00:00-06:00,117.8272654162513 A
2017-10-01T00:00:00-06:00,103.51115605566237 A
2017-10-02T00:00:00-06:00,122.12474501132965 A
2017-10-03T00:00:00-06:00,120.35592919985453 A
2017-10-04T00:00:00-06:00,123.15519384013282 A
2017-10-05T00:00:00-06:00,121.92637739446428 A
2017-10-06T00:00:00-06:00,113.32717105528809 A
2017-10-07T00:00:00-06:00,110.79270833598243 A
2017-10-08T00:00:00-06:00,113.31594743728638 A
2017-10-09T00:00:00-06:00,116.41721251805623 A
2017-10-10T00:00:00-06:00,116.53939895629883 A
2017-10-11T00:00:00-06:00,116.92085955937704 A
2017-10-12T00:00:00-06:00,113.91537483003404 A
2017-10-13T00:00:00-06:00,118.19718061818017 A
2017-10-14T00:00:00-06:00,112.4740835958057 A
2017-10-15T00:00:00-06:00,102.09465938938989 A
2017-10-16T00:00:00-06:00,127.14873535633087 A
2017-10-17T00:00:00-06:00,131.72796221574148 A
2017-10-18T00:00:00-06:00,120.47724464469486 A
2017-10-19T00:00:00-06:00,128.36324873235492 A
2017-10-20T00:00:00-06:00,113.12455082204607 A
2017-10-21T00:00:00-06:00,115.80899820857577 A
2017-10-22T00:00:00-06:00,114.14427112473382 A
2017-10-23T00:00:00-06:00,125.34195698632135 A
2017-10-24T00:00:00-06:00,132.85029012891982 A
2017-10-25T00:00:00-06:00,121.35955323113336 A
2017-10-26T00:00:00-06:00,128.67975204520755 A
2017-10-27T00:00:00-06:00,113.865719321039 A
2017-10-28T00:00:00-06:00,110.02220994896359 A
2017-10-29T00:00:00-06:00,99.95141744878558 A
2017-10-30T00:00:00-06:00,115.71974532604217 A
2017-10-31T00:00:00-06:00,106.09484823279911 A
2017-11-01T00:00:00-06:00,119.19237526522743 A
2017-11-02T00:00:00-06:00,122.6251699844996 A
2017-11-03T00:00:00-06:00,113.97151545683543 A
2017-11-04T00:00:00-06:00,106.02435127894084 A
2017-11-05T00:00:00-06:00,105.39225412241618 A
2017-11-06T00:00:00-07:00,115.38870221508874 A
2017-11-07T00:00:00-07:00,116.76214342647128 A
2017-11-08T00:00:00-07:00,118.07711209456126 A
2017-11-09T00:00:00-07:00,119.37875120639801 A
2017-11-10T00:00:00-07:00,115.58523982365926 A
2017-11-11T00:00:00-07:00,113.81622729036543 A
2017-11-12T00:00:00-07:00,102.46279447343615 A
2017-11-13T00:00:00-07:00,120.31489671071371 A
2017-11-14T00:00:00-07:00,120.37933029068842 A
2017-11-15T00:00:00-07:00,118.61097077528636 A
2017-11-16T00:00:00-07:00,119.06189532809788 A
2017-11-17T00:00:00-07:00,113.50140078332689 A
2017-11-18T00:00:00-07:00,109.72143850856357 A
2017-11-19T00:00:00-07:00,107.83434009287092 A
2017-11-20T00:00:00-07:00,115.88207252555424 A
2017-11-21T00:00:00-07:00,115.95561641322242 A
2017-11-22T00:00:00-07:00,108.99986958238813 A
2017-11-23T00:00:00-07:00,99.6418483018875 A
2017-11-24T00:00:00-07:00,98.97229896651373 A
2017-11-25T00:00:00-07:00,95.14258111317953 A
2017-11-26T00:00:00-07:00,94.2614318423801 A
2017-11-27T00:00:00-07:00,114.54636831548478 A
2017-11-28T00:00:00-07:00,115.54168440235986 A
2017-11-29T00:00:00-07:00,118.438936580552 A
2017-11-30T00:00:00-07:00,116.87330249945323 A
2017-12-01T00:00:00-07:00,112.28889440960354 A
2017-12-02T00:00:00-07:00,110.25003553231558 A
2017-12-03T00:00:00-07:00,102.02544223732419 A
2017-12-04T00:00:00-07:00,120.09968112574683 A
2017-12-05T00:00:00-07:00,124.72214480241139 A
2017-12-06T00:00:00-07:00,128.86239343484243 A
2017-12-07T00:00:00-07:00,131.95547093815273 A
2017-12-08T00:00:00-07:00,111.25824659400516 A
2017-12-09T00:00:00-07:00,108.00923030641344 A
2017-12-10T00:00:00-07:00,113.34820649358961 A
2017-12-11T00:00:00-07:00,135.02847809791564 A
2017-12-12T00:00:00-07:00,120.58187129232618 A
2017-12-13T00:00:00-07:00,134.62196057107712 A
2017-12-14T00:00:00-07:00,131.7715552382999 A
2017-12-15T00:00:00-07:00,113.070298965772 A
2017-12-16T00:00:00-07:00,106.09134913815393 A
2017-12-17T00:00:00-07:00,97.37857928276063 A
2017-12-18T00:00:00-07:00,114.7992550984206 A
2017-12-19T00:00:00-07:00,105.316712752978 A
2017-12-20T00:00:00-07:00,108.45949975384606 A
2017-12-21T00:00:00-07:00,107.41690336068471 A
2017-12-22T00:00:00-07:00,110.71484472221799 A
2017-12-23T00:00:00-07:00,107.40671683947245 A
2017-12-24T00:00:00-07:00,105.38915549384222 A
2017-12-25T00:00:00-07:00,111.6275976286994 A
2017-12-26T00:00:00-07:00,108.64958343770769 A
2017-12-27T00:00:00-07:00,102.06761997010973 A
2017-12-28T00:00:00-07:00,97.00463835398357 A
2017-12-29T00:00:00-07:00,90.40514076020983 A
2017-12-30T00:00:00-07:00,89.97656768692865 A
2017-12-31T00:00:00-07:00,92.25671971903907 A
