Timestamp,['1cbae83c-b206e0a0 0038-ART BLDG Power Meter 300086 KWH Received']
2017-12-17T00:00:00-07:00,665.8125 kWh
2017-12-18T00:00:00-07:00,762.78125 kWh
2017-12-19T00:00:00-07:00,661.5625 kWh
2017-12-20T00:00:00-07:00,609.75 kWh
2017-12-21T00:00:00-07:00,741.40625 kWh
2017-12-22T00:00:00-07:00,716.71875 kWh
2017-12-23T00:00:00-07:00,593.59375 kWh
2017-12-24T00:00:00-07:00,497.28125 kWh
2017-12-25T00:00:00-07:00,452.90625 kWh
2017-12-26T00:00:00-07:00,628.28125 kWh
2017-12-27T00:00:00-07:00,506.96875 kWh
2017-12-28T00:00:00-07:00,540.3125 kWh
2017-12-29T00:00:00-07:00,486.75 kWh
2017-12-30T00:00:00-07:00,508.09375 kWh
2017-12-31T00:00:00-07:00,491.8125 kWh
