Timestamp,['1ce63d7d-1ec2ea15 0028-MARRIOTT CENTER FOR DANCE Power Meter Current C']
2017-12-20T00:00:00-07:00,196.15769052505493 A
2017-12-21T00:00:00-07:00,195.9553894996643 A
2017-12-22T00:00:00-07:00,179.01284074783325 A
2017-12-23T00:00:00-07:00,176.71794191996256 A
2017-12-24T00:00:00-07:00,171.7854520479838 A
2017-12-25T00:00:00-07:00,171.71986023585 A
2017-12-26T00:00:00-07:00,175.3531723022461 A
2017-12-27T00:00:00-07:00,176.72587633132935 A
2017-12-28T00:00:00-07:00,181.51126098632812 A
2017-12-29T00:00:00-07:00,190.8577151298523 A
2017-12-30T00:00:00-07:00,191.4787542025248 A
2017-12-31T00:00:00-07:00,185.64517005284628 A
