Timestamp,['1fa24747-c514fa25 0002-VOICE & OPERA CNTR Power Meter (301411) Current A']
2017-11-21T00:00:00-07:00,7.811257780839999 A
2017-11-22T00:00:00-07:00,6.338197295864423 A
2017-11-23T00:00:00-07:00,5.338039780656497 A
2017-11-24T00:00:00-07:00,5.333344316730897 A
2017-11-25T00:00:00-07:00,2.809077745924393 A
2017-11-26T00:00:00-07:00,1.6875228558977444 A
2017-11-27T00:00:00-07:00,6.5333221306403475 A
2017-11-28T00:00:00-07:00,6.385967182616393 A
2017-11-29T00:00:00-07:00,5.970766109724839 A
2017-11-30T00:00:00-07:00,5.428641660759847 A
2017-12-01T00:00:00-07:00,5.578936674942573 A
2017-12-02T00:00:00-07:00,2.4097691091398397 A
2017-12-03T00:00:00-07:00,3.0598714177807174 A
2017-12-04T00:00:00-07:00,7.004889838397503 A
2017-12-05T00:00:00-07:00,7.5701881274580956 A
2017-12-06T00:00:00-07:00,6.599815260618925 A
2017-12-07T00:00:00-07:00,6.5198045410215855 A
2017-12-08T00:00:00-07:00,6.441162835806608 A
2017-12-09T00:00:00-07:00,6.127051800489426 A
2017-12-10T00:00:00-07:00,6.938768874853849 A
2017-12-11T00:00:00-07:00,7.340693987905979 A
2017-12-12T00:00:00-07:00,6.385791935026646 A
2017-12-13T00:00:00-07:00,6.538229624430339 A
2017-12-14T00:00:00-07:00,6.6581263442834215 A
2017-12-15T00:00:00-07:00,6.055682998150587 A
2017-12-16T00:00:00-07:00,4.1490783877670765 A
2017-12-17T00:00:00-07:00,5.4320003266135855 A
2017-12-18T00:00:00-07:00,6.825956621477681 A
2017-12-19T00:00:00-07:00,5.4407511701186495 A
2017-12-20T00:00:00-07:00,6.159521726270516 A
2017-12-21T00:00:00-07:00,8.116586546103159 A
2017-12-22T00:00:00-07:00,8.185889706015587 A
2017-12-23T00:00:00-07:00,7.971043422818184 A
2017-12-24T00:00:00-07:00,8.11114219824473 A
2017-12-25T00:00:00-07:00,8.10038341085116 A
2017-12-26T00:00:00-07:00,8.386632358034452 A
2017-12-27T00:00:00-07:00,8.330871999263763 A
2017-12-28T00:00:00-07:00,8.296457062164942 A
2017-12-29T00:00:00-07:00,7.9506760487953825 A
2017-12-30T00:00:00-07:00,8.121174782514572 A
2017-12-31T00:00:00-07:00,8.102794046203295 A
