Timestamp,['1cac272a-04cde8b7 0077-CHRISTENSEN CNTR Power Meter (300172) KWH Received']
2017-10-25T00:00:00-06:00,1979.15625 kWh
2017-10-26T00:00:00-06:00,2119.9375 kWh
2017-10-27T00:00:00-06:00,1843.6875 kWh
2017-10-28T00:00:00-06:00,1757.21875 kWh
2017-10-29T00:00:00-06:00,1621.4375 kWh
2017-10-30T00:00:00-06:00,1886.71875 kWh
2017-10-31T00:00:00-06:00,1701.34375 kWh
2017-11-01T00:00:00-06:00,1933.75 kWh
2017-11-02T00:00:00-06:00,2036.4375 kWh
2017-11-03T00:00:00-06:00,1840.9375 kWh
2017-11-04T00:00:00-06:00,1722.46875 kWh
2017-11-05T00:00:00-06:00,1750.46875 kWh
2017-11-06T00:00:00-07:00,1886.15625 kWh
2017-11-07T00:00:00-07:00,1913.625 kWh
2017-11-08T00:00:00-07:00,1923.65625 kWh
2017-11-09T00:00:00-07:00,1963.9375 kWh
2017-11-10T00:00:00-07:00,1875.25 kWh
2017-11-11T00:00:00-07:00,1854.84375 kWh
2017-11-12T00:00:00-07:00,1643.625 kWh
2017-11-13T00:00:00-07:00,1987.5 kWh
2017-11-14T00:00:00-07:00,2010.84375 kWh
2017-11-15T00:00:00-07:00,1950.71875 kWh
2017-11-16T00:00:00-07:00,1961.21875 kWh
2017-11-17T00:00:00-07:00,1847.9375 kWh
2017-11-18T00:00:00-07:00,1768.09375 kWh
2017-11-19T00:00:00-07:00,1743.75 kWh
2017-11-20T00:00:00-07:00,1928.25 kWh
2017-11-21T00:00:00-07:00,1908.78125 kWh
2017-11-22T00:00:00-07:00,1804.25 kWh
2017-11-23T00:00:00-07:00,1503.3125 kWh
2017-11-24T00:00:00-07:00,1384.78125 kWh
2017-11-25T00:00:00-07:00,1319.78125 kWh
2017-11-26T00:00:00-07:00,1308.90625 kWh
2017-11-27T00:00:00-07:00,1824 kWh
2017-11-28T00:00:00-07:00,1919.03125 kWh
2017-11-29T00:00:00-07:00,1971 kWh
2017-11-30T00:00:00-07:00,1956.03125 kWh
2017-12-01T00:00:00-07:00,1845.3125 kWh
2017-12-02T00:00:00-07:00,1783.71875 kWh
2017-12-03T00:00:00-07:00,1651.59375 kWh
2017-12-04T00:00:00-07:00,1992 kWh
2017-12-05T00:00:00-07:00,2067.71875 kWh
2017-12-06T00:00:00-07:00,2096.25 kWh
2017-12-07T00:00:00-07:00,2168.875 kWh
2017-12-08T00:00:00-07:00,1819.9375 kWh
2017-12-09T00:00:00-07:00,1745 kWh
2017-12-10T00:00:00-07:00,1834.875 kWh
2017-12-11T00:00:00-07:00,2195.0625 kWh
2017-12-12T00:00:00-07:00,1926 kWh
2017-12-13T00:00:00-07:00,2134.25 kWh
2017-12-14T00:00:00-07:00,2148.5 kWh
2017-12-15T00:00:00-07:00,1845.5625 kWh
2017-12-16T00:00:00-07:00,1764.125 kWh
2017-12-17T00:00:00-07:00,1624.6875 kWh
2017-12-18T00:00:00-07:00,1866.1875 kWh
2017-12-19T00:00:00-07:00,1709.0625 kWh
2017-12-20T00:00:00-07:00,1793.5625 kWh
2017-12-21T00:00:00-07:00,1745.5 kWh
2017-12-22T00:00:00-07:00,1644.5625 kWh
2017-12-23T00:00:00-07:00,1495.8125 kWh
2017-12-24T00:00:00-07:00,1465.1875 kWh
2017-12-25T00:00:00-07:00,1569.75 kWh
2017-12-26T00:00:00-07:00,1529.9375 kWh
2017-12-27T00:00:00-07:00,1493.75 kWh
2017-12-28T00:00:00-07:00,1404.0625 kWh
2017-12-29T00:00:00-07:00,1276 kWh
2017-12-30T00:00:00-07:00,1264.5 kWh
2017-12-31T00:00:00-07:00,1303.5625 kWh
