Timestamp,['1cc972b2-eecd14d9 0051-STERLING SILL CNTR Power Meter Volts CA']
2017-11-01T00:00:00-06:00,210.7395831743876 V
2017-11-02T00:00:00-06:00,210.98020871480307 V
2017-11-03T00:00:00-06:00,211.11145766576132 V
2017-11-04T00:00:00-06:00,211.14999961853027 V
2017-11-05T00:00:00-06:00,211.2899998474121 V
2017-11-06T00:00:00-07:00,211.30208365122476 V
2017-11-07T00:00:00-07:00,211.35624996821085 V
2017-11-08T00:00:00-07:00,211.28229141235352 V
2017-11-09T00:00:00-07:00,211.11250003178915 V
2017-11-10T00:00:00-07:00,211.5302087465922 V
2017-11-11T00:00:00-07:00,211.58020798365274 V
2017-11-12T00:00:00-07:00,211.57187541325888 V
2017-11-13T00:00:00-07:00,211.30208333333334 V
2017-11-14T00:00:00-07:00,211.62812534968057 V
2017-11-15T00:00:00-07:00,211.33541695276895 V
2017-11-16T00:00:00-07:00,211.05416584014893 V
2017-11-17T00:00:00-07:00,211.0468748410543 V
2017-11-18T00:00:00-07:00,211.6166671117147 V
2017-11-19T00:00:00-07:00,211.6583333015442 V
2017-11-20T00:00:00-07:00,211.48333311080933 V
2017-11-21T00:00:00-07:00,211.54270807902017 V
2017-11-22T00:00:00-07:00,211.43854141235352 V
2017-11-23T00:00:00-07:00,211.48854144414267 V
2017-11-24T00:00:00-07:00,211.51666704813638 V
2017-11-25T00:00:00-07:00,211.4760421117147 V
2017-11-26T00:00:00-07:00,211.6166664759318 V
2017-11-27T00:00:00-07:00,211.56562487284342 V
2017-11-28T00:00:00-07:00,211.6312494277954 V
2017-11-29T00:00:00-07:00,211.49375025431314 V
2017-11-30T00:00:00-07:00,211.76562452316284 V
2017-12-01T00:00:00-07:00,211.39791615804037 V
2017-12-02T00:00:00-07:00,211.46562496821085 V
2017-12-03T00:00:00-07:00,211.65937582651773 V
2017-12-04T00:00:00-07:00,211.42291609446207 V
2017-12-05T00:00:00-07:00,211.53854131698608 V
2017-12-06T00:00:00-07:00,211.49270820617676 V
2017-12-07T00:00:00-07:00,211.45416657129923 V
2017-12-08T00:00:00-07:00,211.33749961853027 V
2017-12-09T00:00:00-07:00,211.50729179382324 V
2017-12-10T00:00:00-07:00,211.59166701634726 V
2017-12-11T00:00:00-07:00,211.4708333015442 V
2017-12-12T00:00:00-07:00,211.15000025431314 V
2017-12-13T00:00:00-07:00,211.49791685740152 V
2017-12-14T00:00:00-07:00,211.4906260172526 V
2017-12-15T00:00:00-07:00,211.7062505086263 V
2017-12-16T00:00:00-07:00,211.45104249318442 V
2017-12-17T00:00:00-07:00,211.28854179382324 V
2017-12-18T00:00:00-07:00,211.1494632844002 V
2017-12-19T00:00:00-07:00,211.3947917620341 V
2017-12-20T00:00:00-07:00,211.3624997138977 V
2017-12-21T00:00:00-07:00,211.37395779291788 V
2017-12-22T00:00:00-07:00,211.53333377838135 V
2017-12-23T00:00:00-07:00,211.23645814259848 V
2017-12-24T00:00:00-07:00,211.56875006357828 V
2017-12-25T00:00:00-07:00,211.76875019073486 V
2017-12-26T00:00:00-07:00,211.8364585240682 V
2017-12-27T00:00:00-07:00,211.11770868301392 V
2017-12-28T00:00:00-07:00,211.85833311080933 V
2017-12-29T00:00:00-07:00,211.48124996821085 V
2017-12-30T00:00:00-07:00,211.63645935058594 V
2017-12-31T00:00:00-07:00,211.33749961853027 V
