Timestamp,"['1cf8d75f-a178c1dc 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KW Total']"
2017-10-30T00:00:00-06:00,3.2199997901916504 kW
2017-10-31T00:00:00-06:00,2.8879995346069336 kW
2017-11-01T00:00:00-06:00,3.559999942779541 kW
2017-11-02T00:00:00-06:00,3.4159998893737793 kW
2017-11-03T00:00:00-06:00,3.5839996337890625 kW
2017-11-04T00:00:00-06:00,2.7719998359680176 kW
2017-11-05T00:00:00-06:00,2.7799997329711914 kW
2017-11-06T00:00:00-07:00,3.7199997901916504 kW
2017-11-07T00:00:00-07:00,3.807999610900879 kW
2017-11-08T00:00:00-07:00,3.5159997940063477 kW
2017-11-09T00:00:00-07:00,3.807999610900879 kW
2017-11-10T00:00:00-07:00,3.799999713897705 kW
2017-11-11T00:00:00-07:00,2.547999858856201 kW
2017-11-12T00:00:00-07:00,2.5999999046325684 kW
2017-11-13T00:00:00-07:00,3.727999687194824 kW
2017-11-14T00:00:00-07:00,3.7639999389648438 kW
2017-11-15T00:00:00-07:00,3.663999557495117 kW
2017-11-16T00:00:00-07:00,3.74399995803833 kW
2017-11-17T00:00:00-07:00,3.7559995651245117 kW
2017-11-18T00:00:00-07:00,2.5279998779296875 kW
2017-11-19T00:00:00-07:00,2.559999942779541 kW
2017-11-20T00:00:00-07:00,3.7039999961853027 kW
2017-11-21T00:00:00-07:00,3.547999858856201 kW
2017-11-22T00:00:00-07:00,3.627999782562256 kW
2017-11-23T00:00:00-07:00,2.859999656677246 kW
2017-11-24T00:00:00-07:00,2.799999713897705 kW
2017-11-25T00:00:00-07:00,2.491999626159668 kW
2017-11-26T00:00:00-07:00,2.7919998168945312 kW
2017-11-27T00:00:00-07:00,3.803999900817871 kW
2017-11-28T00:00:00-07:00,3.875999927520752 kW
2017-11-29T00:00:00-07:00,3.6399998664855957 kW
2017-11-30T00:00:00-07:00,3.6359996795654297 kW
2017-12-01T00:00:00-07:00,3.7159996032714844 kW
2017-12-02T00:00:00-07:00,2.479999542236328 kW
2017-12-03T00:00:00-07:00,2.7759995460510254 kW
2017-12-04T00:00:00-07:00,3.991999626159668 kW
2017-12-05T00:00:00-07:00,3.7839999198913574 kW
2017-12-06T00:00:00-07:00,3.7079997062683105 kW
2017-12-07T00:00:00-07:00,3.5239996910095215 kW
2017-12-08T00:00:00-07:00,3.671999931335449 kW
2017-12-09T00:00:00-07:00,2.547999858856201 kW
2017-12-10T00:00:00-07:00,2.739999771118164 kW
2017-12-11T00:00:00-07:00,3.5319995880126953 kW
2017-12-12T00:00:00-07:00,3.5759997367858887 kW
2017-12-13T00:00:00-07:00,3.491999626159668 kW
2017-12-14T00:00:00-07:00,3.3879995346069336 kW
2017-12-15T00:00:00-07:00,3.5239996910095215 kW
2017-12-16T00:00:00-07:00,2.435999870300293 kW
2017-12-17T00:00:00-07:00,2.795999526977539 kW
2017-12-18T00:00:00-07:00,3.419999599456787 kW
2017-12-19T00:00:00-07:00,3.307999610900879 kW
2017-12-20T00:00:00-07:00,3.3479995727539062 kW
2017-12-21T00:00:00-07:00,3.443999767303467 kW
2017-12-22T00:00:00-07:00,3.36799955368042 kW
2017-12-23T00:00:00-07:00,2.4639997482299805 kW
2017-12-24T00:00:00-07:00,2.4639997482299805 kW
2017-12-25T00:00:00-07:00,2.435999870300293 kW
2017-12-26T00:00:00-07:00,2.4759998321533203 kW
2017-12-27T00:00:00-07:00,2.5919995307922363 kW
2017-12-28T00:00:00-07:00,2.9599995613098145 kW
2017-12-29T00:00:00-07:00,2.751999855041504 kW
2017-12-30T00:00:00-07:00,2.7159996032714844 kW
2017-12-31T00:00:00-07:00,2.6439995765686035 kW
